Book	Concordance1	Concor-dance2	Concordance3	Lemma	‘	NOT	Tense	Voice	?	Time reference	Continuous	Repeated	Extra function	Comment	Annotator
book52		are you going		go			GOING TO	A		present	yes	no			T
book75		was making		make			past	A	q	past	yes	yes			T
book62		was catching		catch up			past	A		past	yes	no	gradual change		T
book271		are always working		work			present	A		present	yes	yes			T
book98		was still savouring		savour			past	A		past	yes	no	framing		T
book266		am thinking		think			present	A		present	yes	no			T
book163		's waiting		wait	c		present	A		present	yes	no			T
book9		was shaking		shake			past	A		past	yes	no			T
book10		were wading		wade			past	A		hypothetical	yes	no			T
book77		're not going		go	c	n	GOING TO	A		present	yes	no			T
book29		was drinking		drink			past	A		past	yes	no	framing		T
book10		was going		go			GOING TO	A		past	yes	no			T
book184		is going		go off			present	A		general	no	no			T
book106		was finished blowing		blow			NOT progressive	A		past	yes	no			T
book178		been thinking		think about			perfect	A		past	yes	no	framing		T
book168		are being		hand over			present	P		future	no	no			T
book109		was resolutely plowing		plow on			past	A		past	yes	no			T
book208		was doing		do			past	A		past	yes	no	framing		T
book230		was getting		get			past	A		past	yes	no	gradual change		T
book124		were smiling		smile			past	A		past	yes	no			T
book88		are planning		plan			present	A	q	present	yes	no			T
book251		be always hiding		hide			modal	A		hypothetical	yes	yes			T
book224		been lying		lie			perfect	A		past	yes	no			T
book95		is just being		be			present	A		general	yes	no			T
book248		was heartening		hearten			NOT progressive	A		past	yes	no			T
book172		was bleeding		bleed			past	A		past	yes	no	framing		T
book167		's going		go	c		GOING TO	A		present	yes	no			T
book122		was going		go			GOING TO	A		past	yes	no			T
book196		were expecting		expect			past	A	q	past	yes	no			T
book75		wasn't coming		come back	c	n	past	A		future	no	no			T
book28		was just trying		try			past	A		past/present	yes	no			T
book192		was good, coming		come			NOT progressive	A		past	yes	no			T
book153		's gratifying		gratify	c		NOT progressive	A		present	yes	no			T
book214		was talking		talk			past	A		past	yes	no	framing		T
book189		is Christmas coming		come			present	A		present	yes	no	gradual change		T
book182		were dripping		drip			past	A		past	yes	no			T
book216		'm afraid I am going		go	c		GOING TO	A		present	yes	no			T
book71		were saying		say			past	A	q	past	no	no	emphasis/shock		T
book263		're all going		go	c		GOING TO	A		present	yes	no			T
book120		's a raging		rage	c		NOT progressive	A		present	yes	no			T
book288		is lying		lie			present	A		general	yes	no			T
book75		was sleeping		sleep			past	A		past	yes	no			T
book145		's going		go	c		GOING TO	A		present	yes	no			T
book185		were descending		descend			past	A		past	yes	no			T
book115		be considering		consider			catenative	A		past	yes	no		narrator's/speaker's impression	T
book168		're not working		work	c	n	present	A		present	yes	yes			T
book212		be intent on chasing		chase			NOT progressive	A		modal/infinitive	yes	no			T
book164		was a concept beyond imagining		imagine			NOT progressive	A		past	yes	no			T
book41		're having		have	c		present	A		present	yes	unclear	reported speech/thought		T
book83		is properly ashamed of being		be			NOT progressive	A		present	yes	no			T
book33		's what is going		go	c		GOING TO	A		present	yes	no			T
book24		's definitely thinking		think	c		present	A		present	yes	no			T
book163		's really going		go on	c		present	A	q	present	yes	no			T
book126		'm walking		walk	c		present	A		present	yes	no			T
book237		are we going		go			GOING TO	A		present	yes	no			T
book13		was still sitting		sit			past	A		past	yes	no			T
book277		was still standing		stand			past	A		past	yes	no			T
book19		'm not budging		budge	c	n	present	A		future	no	no			T
book298		was practically screaming		scream			past	A		past	yes	no			T
book55		was standing		stand			past	A		past	yes	no			T
book208		were leaving		leave			past	A		past	no	no			T
book117		were missing		miss			past	A		past	yes	no			T
book42		be looking		look			catenative	A		modal/infinitive	yes	no		narrator's/speaker's impression	T
book120		were writing		write			past	A		past	yes	no			T
book65		are responding		respond			present	A		present	yes	yes			T
book298		was at work being		be			NOT progressive	A		past	yes	no			T
book263		's go rolling		roll	c		NOT progressive	A		present	yes	no			T
book5		were gazing		gaze			past	A		past	yes	no			T
book139		's get going		go	c		NOT progressive	A		present	yes	no			T
book239		was getting		get			past	A		past	yes	no	gradual change		T
book298		were saying		say			past	A		past	yes	no			T
book168		been pestering		pester			perfect	A		past/present	yes	yes			T
book203		was standing		stand			past	A		past	yes	no			T
book295		was having difficulty marshaling		have			past	A		past	yes	no			T
book169		was still not coming		come out		n	past	A		past	no	no			T
book59		was smiling		smile			past	A		past	yes	no			T
book156		was always reading		read			past	A		past	yes	yes			T
book228		was going		go			GOING TO	A		past	yes	no			T
book53		're shouting		shout	c		present	A		present	yes	no			T
book256		been waiting		wait			perfect	A		past	yes	no			T
book280		are you talking		talk about			present	A	q	present	yes	no			T
book207		wasn't listening		listen	c	n	past	A		past	yes	no			T
book18		's talking		talk to	c		present	A		present	yes	yes	framing		T
book145		was coming		come			past	A		future	yes	no	reported speech/thought		T
book230		be seeing		see	c		modal	A		future	yes	no			T
book42		was spying		spy on			past	A		past	yes	unclear			T
book285		's actually going		go	c		GOING TO	A		present	yes	no			T
book72		was giving		give			past	A		past	yes	no			T
book145		were answering		answer			past	A		hypothetical	yes	no			T
book263		was making whistling		make			past	A		past	yes	yes	framing	repeatedness?	T
book240		is out looking		look for			present	A		present	yes	yes			T
book32		was trembling		tremble			past	A		past	yes	no			T
book11		were learning		learn			past	A		past	yes	unclear			T
book109		are you staring		stare at			present	A	q	present	yes	no			T
book103		was really having		have			past	A		future	yes	no			T
book121		're not going		go	c	n	GOING TO	A		present	yes	no			T
book136		'm working		work on	c		present	A		present	yes	no			T
book213		been a tiring		tire			NOT progressive	A		perfect	yes	no			T
book10		been crouching		crouch			perfect	A		past	yes	no			T
book149		was becoming		become			past	A		past	yes	no	gradual change		T
book236		was kissing		kiss			past	A		past	yes	no			T
book126		're singing		sing	c		present	A		present	yes	unclear			T
book292		is hailing and snowing		hail			present	A		general	yes	no			T
book234		was smoking was going		smoke			past	A		past	yes	no	reported speech/thought		T
book127		is walking		walk			present	A		present	yes	no			T
book267		was already doing		do			past	A		past	yes	yes		narrator's/speaker's impression	T
book81		was sitting up and dabbing		sit up			past	A		past	no	no			T
book185		is going		go			GOING TO	A		present	yes	no			T
book285		's holding		hold	c		present	A		present	yes	no			T
book43		was being		bear aloft			past	P		past	yes	no			T
book168		was paying		pay sb attention			past	A		past	yes	no			T
book74		was coming		come			past	A		future	no	no			T
book62		's cheating		cheat	c		NOT progressive	A		present	yes	no			T
book8		was sitting		sit			past	A		past	yes	no			T
book168		'm not having		have	c	n	present	A		general	yes	no			T
book192		's training		train	c		present	A	q	present	yes	yes			T
book61		been holding		hold			perfect	A		past	yes	no			T
book214		was, remained looking		look out			NOT progressive	A		past	yes	no			T
book151		been heavy judging		judge			NOT progressive	A		perfect	yes	no			T
book15		was riding		ride			past	A		unclear	yes	no	reported speech/thought		T
book24		's going		go	c		GOING TO	A		present	yes	no			T
book254		are reeling		reel			present	A		general	yes	no			T
book16		were shooting		shoot			past	A		past	no	yes			T
book92		be standing there waiting		stand			modal	A		hypothetical	yes	no			T
book12		're selling		sell	c		present	A	q	present	no	yes			T
book94		'm used to commanding		command	c		NOT progressive	A		present	yes	no			T
book76		was hearing		hear			past	A		past	yes	yes			T
book45		was a fiddler coming		come			NOT progressive	A		past	yes	no			T
book276		was squeezing		squeeze			past	A		past	yes	no			T
book146		are you doing		do			present	A	q	present	yes	no			T
book132		be rushing		rush			modal	A		general	yes	yes			T
book103		was drinking		drink			past	A		past	yes	no			T
book100		are getting		get			present	A		present	no	no			T
book73		was beginning		begin			past	A		past	yes	no	gradual change		T
book35		been listening		listen			perfect	A		past	yes	no			T
book120		is sleeping		sleep			present	A		present	yes	no			T
book70		were running		run			NOT progressive	A		past	yes	no			T
book262		was leaving		leave			past	A		future	no	no			T
book249		was blowing		blow			past	A		past	yes	no			T
book72		're going		go	c		GOING TO	A		present	yes	no			T
book79		was turning		turn over			past	A		past	no	no			T
book267		wasn't going		go	c	n	GOING TO	A		past	yes	no			T
book278		be no going		go			NOT progressive	A		modal/infinitive	yes	no			T
book172		been up early, clearing		clear			NOT progressive	A		perfect	yes	no			T
book216		is singeing		singe			present	A		present	yes	no		narrator's/speaker's impression	T
book192		was just thinking		think			past	A		past	yes	no			T
book211		'm going		go	c		GOING TO	A		present	yes	no			T
book136		'm remembering		remember	c		present	A		present	yes	no			T
book119		was not being		be		n	past	A		past	yes	no			T
book131		is ill-intent in their keeping		keep			NOT progressive	A		present	yes	no			T
book294		's get moving		move	c		NOT progressive	A		present	yes	no			T
book185		was happening		happen			past	A		past	yes	yes			T
book230		was sitting		sit			past	A		past	yes	no			T
book77		're going		go	c		GOING TO	A		present	yes	no			T
book10		was still working		work			past	A		past	yes	no			T
book198		was beckoning		beckon			past	A		past	yes	no			T
book226		was decidedly warming		warm up			past	A		past	yes	no	gradual change		T
book16		be guzzling		guzzle			catenative	A		future	yes	yes			T
book280		was beginning		begin			past	A		past	yes	no	gradual change		T
book263		are counting		count			present	A		present	yes	no			T
book209		'm going		go	c		GOING TO	A		present	yes	no			T
book105		is going		go			GOING TO	A		present	yes	no			T
book19		is calling		call			present	A	q	present	no	no			T
book252		are doing		do			present	A		present	yes	yes			T
book264		was kidding		kid			past	A		present	yes	no	reported speech/thought		T
book192		was thinking		think			past	A		past/present	yes	no			T
book207		was getting		get			past	A		past	yes	no	gradual change		T
book16		is knowing		know			present	A		present	yes	no			T
book57		was surprising		surprise			NOT progressive	A		past	yes	no			T
book163		was lying		lie			past	A		past	yes	no			T
book191		was mostly wondering		wonder			past	A		future	yes	no	framing	2 extra functions: framing + reported thought	T
book244		Are we going		go back			present	A	q	present	no	no			T
book166		wasn't going		go	c	n	GOING TO	A		past	yes	no			T
book271		're always leaving		leave	c		present	A		present	no	yes			T
book38		were lying		lie			past	A		past	yes	no			T
book237		were all sitting		sit			past	A		past	yes	no			T
book164		was travelling		travel			past	A		past	yes	no			T
book9		was wearing		wear			past	A		past	yes	no			T
book201		is fading		fade			present	A		present	yes	no	gradual change		T
book142		are fading		fade away			present	A		present	yes	no	gradual change		T
book48		was chatting		chat			past	A		past	yes	no			T
book180		was holding		hold			past	A		past	yes	no			T
book283		were missing		miss			past	A		past	yes	no			T
book197		's going		go on	c		present	A		present	yes	no			T
book237		was some tiny movement going		go			NOT progressive	A		past	yes	no			T
book179		was more cheering		cheer			NOT progressive	A		past	yes	no			T
book9		's thinking		think	c		present	A		general	yes	yes			T
book16		is shootling		shootle			present	A		general	yes	yes		typo or just his/her/its way of speaking?	T
book138		were chasing		chase			past	A		past	yes	no			T
book53		was Dibbler, still bearing		bear			NOT progressive	A		past	yes	no			T
book172		Are you talking		talk			present	A	q	present	yes	no			T
book279		'm not growing		grow	c	n	present	A		present	yes	no	gradual change		T
book166		was waiting		wait			past	A		past	yes	no			T
book227		was staring		stare at			past	A		past	yes	no			T
book151		was looking		look at			past	A		past	yes	no			T
book29		was dancing		dance			past	A		past	yes	no	framing		T
book193		're a walking		walk	c		NOT progressive	A		present	yes	no			T
book79		Was the Grim going		go			GOING TO	A		present	yes	no			T
book92		was still holding		hold on			past	A		past	yes	no			T
book264		was going		go			GOING TO	A		past	yes	no			T
book226		was this boy telephoning		telephone			past	A	q	past	yes	no			T
book188		was sitting		sit			past	A		past	yes	no			T
book24		was that helping		help			NOT progressive	A		past	yes	no			T
book26		been eavesdropping		eavesdrop			perfect	A		past	yes	no			T
book68		wasn't jesting		jest	c	n	past	A		past	yes	unclear			T
book202		were just hanging		hang			past	A		past	yes	no			T
book202		was dawning		dawn			past	A		past	yes	no	framing	2 extra function (?): framing + gradual change	T
book79		be starting		start			modal	A		future	no	no			T
book91		being truthful in telling		be			present	A		present	yes	no	emphasis/shock		T
book256		be dragging		drag			modal	A		past	yes	yes			T
book129		be making		make	c	n	modal	A		future	yes	no			T
book237		are riding		ride			present	A		unclear	yes	no			T
book251		are now talking		talk to			present	A		present	yes	no			T
book46		been looking		look forward			perfect	A		past	yes	no			T
book276		was walking		walk			past	A		past	yes	no			T
book195		's she going		go	c		present	A	q	future	no	no			T
book47		be funneling		funnel			catenative	A		modal/infinitive	yes	no			T
book21		was all for attacking		attack			NOT progressive	A		past	yes	no			T
book71		's going		go	c		GOING TO	A		present	yes	no			T
book205		're not losing		lose	c	n	present	A		unclear	no	no			T
book238		were saying		say			past	A		past	yes	no			T
book151		was going		go			GOING TO	A		past	yes	no			T
book257		been troubling		trouble			perfect	A		past	yes	no			T
book267		was going		go			GOING TO	A		past	yes	no			T
book44		's what using		use	c		NOT progressive	A		present	yes	no			T
book59		is happening		happen			present	A		general	yes	no			T
book115		wasn't going		go	c	n	GOING TO	A		past	yes	no			T
book39		was sitting		sit			past	A		past	yes	no			T
book199		been credited with attempting		attempt			NOT progressive	A		perfect	yes	no			T
book95		was sitting		sit			past	A		past	yes	no	framing		T
book32		was going		go			GOING TO	A		past	yes	no			T
book64		were demanding		demand			past	A		past	no	yes			T
book123		was going		go			GOING TO	A		past	yes	no			T
book286		're like dogs carrying		carry	c		NOT progressive	A		present	yes	no			T
book209		was flying		fly over			past	A		past	yes	no			T
book99		was losing		lose			past	A		past	yes	no	gradual change		T
book286		was feeding		feed			past	A		past	yes	no			T
book119		was hovering		hover			past	A		past	yes	no			T
book57		was peeping		peep in			past	A		past	yes	no			T
book92		was waiting		wait			past	A		past	yes	no	framing		T
book261		's growing		grow up	c		present	A		present	yes	no	gradual change		T
book179		was searching		search for			past	A		past	yes	no		narrator's/speaker's impression	T
book199		be still skulking		skulk			catenative	A		past	yes	yes			T
book129		're telling		tell	c		present	A		present	no	no			T
book223		'm cleaning		clean up	c		present	A		present	yes	no			T
book16		be helping		help			modal	A		present	yes	no			T
book228		were really making		make			past	A		past	yes	no			T
book225		was not going		go		n	GOING TO	A		past	yes	no			T
book256		was bristling		bristle			past	A		past	yes	no			T
book288		's worth it, working		work	c		NOT progressive	A		present	yes	no			T
book44		be operating		operate			catenative	A		past	yes	no		narrator's/speaker's impression	T
book169		was a crunch of slamming		slam			NOT progressive	A		past	yes	no			T
book275		was going		go			GOING TO	A		past	yes	no			T
book6		been yelling		yell			perfect	A		past/present	yes	no			T
book111		is a spear sticking		stick			NOT progressive	A		present	yes	no			T
book283		are they coming		come			present	A	q	future	no	no			T
book2		was jerking		jerk			past	A		past	yes	no			T
book130		was like standing		stand			NOT progressive	A		past	yes	no			T
book199		was spreading		spread			past	A		past	yes	no	framing		T
book267		were hanging		hang on			past	A		past	yes	no			T
book295		was so afraid of losing		lose			NOT progressive	A		past	yes	no			T
book296		're teaching		teach	c		present	A		present	yes	yes			T
book228		's easy raising		raise	c		NOT progressive	A		present	yes	no			T
book191		been trying		try			perfect	A		past	yes	no			T
book46		was looking		look			past	A		past	yes	no			T
book125		was being		chase			past	P		past	yes	no		narrator's/speaker's impression	T
book254		was feeling		feel			past	A		past	yes	no	framing		T
book106		's always tel ing		tell	c		present	A		present	no	yes			T
book282		is Fa, standing smiling		stand			NOT progressive	A		present	yes	no			T
book116		was thinking		think about			past	A		past	yes	no			T
book252		been taking		take			perfect	A		past/present	yes	yes			T
book298		was complaining		complain			past	A		past	yes	no			T
book129		are giving		give			present	A		present	no	no			T
book79		were they going		go			GOING TO	A		past	yes	no			T
book231		be lying		lie asleep			modal	A		present	yes	no	reported speech/thought		T
book131		be his father, reducing		reduce			NOT progressive	A		modal/infinitive	yes	no			T
book284		was looking		look through			past	A		past	yes	no	framing		T
book204		was bubbling		bubble			past	A		past	yes	no			T
book210		been working		work			perfect	A		past/present	yes	no			T
book175		was obviously pulling		pull			past	A		past	no	no			T
book133		isn't just leaping		leap	c	n	present	A		present	yes	no			T
book48		's going		go	c		GOING TO	A		present	yes	no			T
book75		are listening		listen			present	A		present	yes	no			T
book26		was seemed to be traveling		travel			catenative	A		past	yes	no		narrator's/speaker's impression	T
book288		are going		go			GOING TO	A		present	yes	no			T
book232		's going		go	c		GOING TO	A		present	yes	no			T
book91		's thinking		think	c		present	A		hypothetical	yes	no			T
book2		is conferring		confer with			present	A		present	yes	unclear			T
book73		been digging		dig			perfect	A		past/present	yes	no			T
book94		're going		go	c		GOING TO	A		present	yes	no			T
book135		were still seething		seethe			past	A		past	yes	no			T
book135		was putting		put			past	A		present	no	yes	reported speech/thought		T
book40		was living		live up			past	A		past	yes	no			T
book137		been sent to boarding		board			NOT progressive	A		perfect	yes	no			T
book124		're going		go under	c		present	A		present	yes	no			T
book228		was saying		say			past	A		past	yes	no			T
book285		was down below turning		turn			NOT progressive	A		past	yes	no			T
book157		be talking		talk		n	modal	A		present	yes	yes			T
book9		're doing		do	c		present	A	q	present	yes	no			T
book242		's going		go	c		present	A		present	yes	no			T
book73		'm going		go	c		GOING TO	A		present	yes	no			T
book163		're hiding		hide	c		present	A		present	yes	no			T
book280		were running		run			past	A		past	yes	no		narrator's/speaker's impression	T
book134		're getting		get	c		present	A		present	yes	no	gradual change		T
book223		was hiding		hide			past	A		past	yes	no			T
book181		was looking		look			past	A		past	yes	no			T
book99		was becoming		become			past	A		past	yes	no	gradual change		T
book195		was beginning		begin			past	A		past	yes	no	framing		T
book251		were always sitting		sit up			past	A		past	yes	yes			T
book166		am hiding		hide			present	A		present	yes	no			T
book114		was spitting		spit			NOT progressive	A		past	yes	no			T
book52		was raining		rain			past	A		past	yes	no			T
book53		were drinking		drink			past	A		past	yes	unclear			T
book65		was wondering		wonder			past	A		past	yes	no			T
book79		's taunting		taunt	c		NOT progressive	A		present	yes	no			T
book87		is of helping		help			NOT progressive	A		present	yes	no			T
book226		'm starving		starve	c		present	A		present	yes	no	emphasis/shock		T
book213		was using		use			past	A		past	yes	unclear			T
book192		is coming		come back			present	A	q	future	yes	no			T
book175		been working		work on	c		perfect	A		past	yes	yes			T
book74		be testing		test			modal	A		future	yes	no			T
book172		be moving		move			modal	A		present	yes	no			T
book40		was driving		drive			past	A		past	yes	no			T
book16		is not needing		need		n	present	A		general	yes	no			T
book182		is negotiating		negotiate			present	A		present	yes	unclear			T
book204		was something breakable sitting		something			NOT progressive	A		past	yes	no			T
book223		was looking		look			past	A		past	yes	no			T
book83		's what you're doing		do	c		present	A		present	yes	yes			T
book46		was stumbling and wincing		stumble			past	A		past	no	yes	framing		T
book247		be afraid of falling		fall			NOT progressive	A		modal/infinitive	yes	no			T
book86		was evaporating		evaporate			past	A		past	yes	no	gradual change		T
book204		was groaning and shuddering		groan			past	A		past	yes	yes			T
book213		was leaning		lean			past	A		past	yes	no			T
book30		was seeping		seep			past	A		past	yes	yes			T
book74		were beginning		begin			past	A		past	yes	no	gradual change		T
book227		are all enjoying		enjoy			present	A		present	yes	no			T
book222		were limping and staggering		limp			past	A		past	yes	no			T
book10		was still gasping		gasp			past	A		past	yes	no			T
book75		's not going		go	c	n	GOING TO	A		present	yes	no			T
book267		was still alive, gurgling		gurgle			NOT progressive	A		past	yes	no			T
book66		were talking		talk			past	A		past	yes	no			T
book232		were clam treaders, trying		try			NOT progressive	A		past	yes	no			T
book128		's going		go	c		GOING TO	A		present	yes	no			T
book50		'm going		go	c		GOING TO	A		present	yes	no			T
book96		is chasing		chase			present	A		present	yes	unclear			T
book149		'm talking		talk to	c		present	A		present	yes	no			T
book77		was using		use			past	A		past	yes	no			T
book97		're awaiting		await	c		present	A		present	yes	no			T
book271		been dreaming		dream			perfect	A		past	yes	no			T
book266		was rising		rise			past	A		past	yes	no		narrator's/speaker's impression	T
book258		was preening		preen			past	A		past	yes	no			T
book137		're abandoning		abandon	c		present	A	q	present	yes	no			T
book151		's never any keeping		keep	c		NOT progressive	A		present	yes	no			T
book175		was flooding		flood out			past	A		past	yes	no			T
book114		been swinging		swing			perfect	A		past	yes	no			T
book80		was looking		look at			past	A		past	yes	no	framing		T
book194		were marching		march			past	A		past	yes	no			T
book72		were all nodding		nod			past	A		past	yes	no	framing		T
book104		was no point in getting		get			NOT progressive	A		past	yes	no			T
book230		'm only just twitching		twitch	c		present	A		present	no	no			T
book169		'm listening		listen	c		present	A		present	yes	no			T
book125		was sitting		sit			past	A		past	yes	no			T
book185		was going		go			GOING TO	A		past	yes	no			T
book22		was swelling		swell			past	A		past	yes	no	gradual change		T
book173		was sprinting		sprint			past	A		past	yes	no	framing		T
book169		Are we murdering		murder			present	A	q	future	no	no			T
book125		was taking		take			past	A		past	yes	no			T
book73		was no point in heading		head			NOT progressive	A		past	yes	no			T
book47		was a speck circling		circle			NOT progressive	A		past	yes	no			T
book41		're going		go	c		GOING TO	A		present	yes	no			T
book167		'm not saying		say	c	n	present	A		present	no	no			T
book239		were waiting		wait			past	A		past	yes	no		narrator's/speaker's impression	T
book38		was not going		go over		n	past	A		past	unclear	no			T
book100		am only establishing		establish			present	A		past/present	no	no			T
book129		is a blur of getting		get			NOT progressive	A		present	yes	no			T
book154		Are you coming		come			present	A	q	present	no	no			T
book102		's mainly bothering		bother	c		present	A		present	yes	yes			T
book11		was going		go on			past	A		past	yes	no			T
book278		are so busy and having		have			present	A		present	yes	yes			T
book42		was standing		stand			past	A		past	yes	no			T
book284		was missing		miss			past	A		past	yes	no	framing		T
book221		be calling		call			modal	A		present	no	no	emphasis/shock		T
book230		was saying		say			past	A		past	yes	no			T
book50		's certainly going		go	c		GOING TO	A		present	yes	no			T
book228		wasn't cutting		cut	c	n	past	A		past	yes	no			T
book53		'm screaming		scream	c		present	A		present	yes	no			T
book28		'm going		go	c		present	A		present	yes	no			T
book262		were talking		talk			past	A		past	yes	no	framing		T
book39		isn't chasing		chase	c	n	present	A		general	yes	no			T
book179		been talking		talk			perfect	A		past	yes	no			T
book291		was being		force			past	P		past	yes	no			T
book227		'm coming		come	c		present	A		present	no	no			T
book32		are going		go			present	A		future	no	no			T
book209		were, all trying		try			NOT progressive	A		past	yes	no			T
book258		am living		live			present	A		present	yes	no			T
book223		be getting		get			modal	A		present	no	no			T
book35		'm not going		go	c	n	present	A		future	no	no			T
book227		were going		go			past	A		future	yes	no	reported speech/thought		T
book25		was like looking		look			NOT progressive	A		past	yes	no			T
book208		'm trying		try	c		present	A		present	yes	no			T
