phone	communication	Edwards
placate	communication	Edwards
plead	communication	Edwards
pray	communication	Edwards
promise	communication	Edwards
propose	communication	Edwards
publish	communication	Edwards
question	communication	Edwards
quote	communication	Edwards
raise	communication	Edwards
recommend	communication	Edwards
refer	communication	Edwards
refuse	communication	Edwards
remark	communication	Edwards
remind	communication	Edwards
reply	communication	Edwards
report	communication	Edwards
respond	communication	Edwards
say	communication	Edwards
scream	communication	Edwards
shout	communication	Edwards
sign	communication	Edwards
sing	communication	Edwards
speak	communication	Edwards
specify	communication	Edwards
state	communication	Edwards
suggest	communication	Edwards
swear	communication	Edwards
talk	communication	Edwards
teach	communication	Edwards
tell	communication	Edwards
thank	communication	Edwards
threaten	communication	Edwards
urge	communication	Edwards
warn	communication	Edwards
welcome	communication	Edwards
whisper	communication	Edwards
write	communication	Edwards
accept	mental	Edwards
address	mental	Edwards
adjust	mental	Edwards
afford	mental	Edwards
agree	mental	Edwards
aim	mental	Edwards
appreciate	mental	Edwards
approve	mental	Edwards
assess	mental	Edwards
assume	mental	Edwards
estimate	mental	Edwards
bear	mental	Edwards
believe	mental	Edwards
blame	mental	Edwards
bluff	mental	Edwards
bother	mental	Edwards
bug	mental	Edwards
calculate	mental	Edwards
care	mental	Edwards
celebrate	mental	Edwards
choose	mental	Edwards
compare	mental	Edwards
conceive	mental	Edwards
concern	mental	Edwards
conclude	mental	Edwards
condemn	mental	Edwards
confirm	mental	Edwards
consider	mental	Edwards
contemplate	mental	Edwards
cope	mental	Edwards
count	mental	Edwards
dare	mental	Edwards
deal	mental	Edwards
decide	mental	Edwards
deserve	mental	Edwards
desire	mental	Edwards
detect	mental	Edwards
determine	mental	Edwards
develop	mental	Edwards
die 	mental	Edwards
discover	mental	Edwards
dismiss	mental	Edwards
distinguish	mental	Edwards
doubt	mental	Edwards
dread	mental	Edwards
dwindle	mental	Edwards
enjoy	mental	Edwards
evaluate	mental	Edwards
examine	mental	Edwards
expect	mental	Edwards
experience	mental	Edwards
face	mental	Edwards
fake	mental	Edwards
fall in love	mental	Edwards
fear	mental	Edwards
feel	mental	Edwards
find	mental	Edwards
follow	mental	Edwards
forget	mental	Edwards
forgive	mental	Edwards
frighten	mental	Edwards
gaze	mental	Edwards
get used	mental	Edwards
give	mental	Edwards
give up	mental	Edwards
go crazy	mental	Edwards
go through	mental	Edwards
guess	mental	Edwards
hate	mental	Edwards
hear	mental	Edwards
hesitate	mental	Edwards
hide	mental	Edwards
hope	mental	Edwards
identify	mental	Edwards
ignore	mental	Edwards
imagine	mental	Edwards
impress	mental	Edwards
inspire 	mental	Edwards
intend	mental	Edwards
interpret	mental	Edwards
investigate	mental	Edwards
judge	mental	Edwards
justify	mental	Edwards
know	mental	Edwards
learn	mental	Edwards
like	mental	Edwards
listen	mental	Edwards
long for	mental	Edwards
look at	mental	Edwards
look forward	mental	Edwards
lose interest	mental	Edwards
love	mental	Edwards
lust	mental	Edwards
manage 	mental	Edwards
manipulate	mental	Edwards
mean	mental	Edwards
mind	mental	Edwards
miss	mental	Edwards
need	mental	Edwards
notice	mental	Edwards
observe	mental	Edwards
opt	mental	Edwards
perceive	mental	Edwards
plan	mental	Edwards
ponder	mental	Edwards
pray	mental	Edwards
predict	mental	Edwards
prefer	mental	Edwards
presume	mental	Edwards
pretend	mental	Edwards
prove	mental	Edwards
question	mental	Edwards
read	mental	Edwards
realise	mental	Edwards
recall	mental	Edwards
reckon	mental	Edwards
recognise	mental	Edwards
recollect	mental	Edwards
recover	mental	Edwards
regard	mental	Edwards
register	mental	Edwards
regret	mental	Edwards
remember	mental	Edwards
remind	mental	Edwards
remind	mental	Edwards
satisfy	mental	Edwards
see	mental	Edwards
sense	mental	Edwards
solve	mental	Edwards
stare	mental	Edwards
struggle	mental	Edwards
study	mental	Edwards
suffer	mental	Edwards
suppose	mental	Edwards
suspect	mental	Edwards
taste	mental	Edwards
tempt	mental	Edwards
think	mental	Edwards
trust	mental	Edwards
understand	mental	Edwards
want	mental	Edwards
watch	mental	Edwards
wish	mental	Edwards
witness	mental	Edwards
wonder	mental	Edwards
worry	mental	Edwards
write off	mental	Edwards
yearn	mental	Edwards
arise	occurrence	Edwards
born	occurrence	Edwards
beat	occurrence	Edwards
become	occurrence	Edwards
blush	occurrence	Edwards
boom	occurrence	Edwards
breathe	occurrence	Edwards
breathe	occurrence	Edwards
build up	occurrence	Edwards
change	occurrence	Edwards
come	occurrence	Edwards
come along	occurrence	Edwards
come on	occurrence	Edwards
decrease	occurrence	Edwards
develop	occurrence	Edwards
die	occurrence	Edwards
disappear	occurrence	Edwards
dwindle	occurrence	Edwards
emerge	occurrence	Edwards
evolve	occurrence	Edwards
fade	occurrence	Edwards
fall 	occurrence	Edwards
fall asleep	occurrence	Edwards
flourish	occurrence	Edwards
flow	occurrence	Edwards
gain	occurrence	Edwards
go on	occurrence	Edwards
grow	occurrence	Edwards
happen	occurrence	Edwards
illuminate	occurrence	Edwards
increase	occurrence	Edwards
last	occurrence	Edwards
leak	occurrence	Edwards
loom	occurrence	Edwards
near	occurrence	Edwards
occur	occurrence	Edwards
play out	occurrence	Edwards
pop up	occurrence	Edwards
progress	occurrence	Edwards
rain	occurrence	Edwards
regress	occurrence	Edwards
resonate	occurrence	Edwards
rise	occurrence	Edwards
run out/short	occurrence	Edwards
shake	occurrence	Edwards
shrink	occurrence	Edwards
sink	occurrence	Edwards
slip	occurrence	Edwards
slip away	occurrence	Edwards
snow	occurrence	Edwards
surface	occurrence	Edwards
take place	occurrence	Edwards
take up	occurrence	Edwards
thrive	occurrence	Edwards
tremble	occurrence	Edwards
turn	occurrence	Edwards
widen	occurrence	Edwards
wither	occurrence	Edwards
expand	occurrence	Edwards
appear	existence_relationship	Edwards
average	existence_relationship	Edwards
be	existence_relationship	Edwards
be derived	existence_relationship	Edwards
be located	existence_relationship	Edwards
concern	existence_relationship	Edwards
constitute	existence_relationship	Edwards
contain	existence_relationship	Edwards
cost	existence_relationship	Edwards
define	existence_relationship	Edwards
deserve	existence_relationship	Edwards
exhibit	existence_relationship	Edwards
exist	existence_relationship	Edwards
experience	existence_relationship	Edwards
face	existence_relationship	Edwards
fit	existence_relationship	Edwards
flounder	existence_relationship	Edwards
function	existence_relationship	Edwards
have	existence_relationship	Edwards
have to	existence_relationship	Edwards
hold	existence_relationship	Edwards
illustrate	existence_relationship	Edwards
imply	existence_relationship	Edwards
include	existence_relationship	Edwards
indicate	existence_relationship	Edwards
involve	existence_relationship	Edwards
lack	existence_relationship	Edwards
lag	existence_relationship	Edwards
last	existence_relationship	Edwards
lie	existence_relationship	Edwards
link	existence_relationship	Edwards
live	existence_relationship	Edwards
look (fig.)	existence_relationship	Edwards
loom	existence_relationship	Edwards
matter	existence_relationship	Edwards
mean	existence_relationship	Edwards
measure	existence_relationship	Edwards
miss (e.g. we are missing one figure)	existence_relationship	Edwards
operate	existence_relationship	Edwards
owe	existence_relationship	Edwards
own	existence_relationship	Edwards
pose	existence_relationship	Edwards
possess	existence_relationship	Edwards
reflect	existence_relationship	Edwards
relate	existence_relationship	Edwards
remain	existence_relationship	Edwards
represent	existence_relationship	Edwards
require	existence_relationship	Edwards
reveal	existence_relationship	Edwards
run	existence_relationship	Edwards
seem	existence_relationship	Edwards
shine	existence_relationship	Edwards
show	existence_relationship	Edwards
sound	existence_relationship	Edwards
stand	existence_relationship	Edwards
stay	existence_relationship	Edwards
suit	existence_relationship	Edwards
teem	existence_relationship	Edwards
tend	existence_relationship	Edwards
vary	existence_relationship	Edwards
work	existence_relationship	Edwards
affect	facilitation_causation	Edwards
assist	facilitation_causation	Edwards
bring	facilitation_causation	Edwards
cause	facilitation_causation	Edwards
compel	facilitation_causation	Edwards
enable	facilitation_causation	Edwards
ensure	facilitation_causation	Edwards
force	facilitation_causation	Edwards
get	facilitation_causation	Edwards
give cause for	facilitation_causation	Edwards
guarantee	facilitation_causation	Edwards
have 	facilitation_causation	Edwards
help	facilitation_causation	Edwards
incite	facilitation_causation	Edwards
induce	facilitation_causation	Edwards
influence	facilitation_causation	Edwards
inspire	facilitation_causation	Edwards
instigate	facilitation_causation	Edwards
keep from	facilitation_causation	Edwards
lead	facilitation_causation	Edwards
let	facilitation_causation	Edwards
make 	facilitation_causation	Edwards
oblige	facilitation_causation	Edwards
permit	facilitation_causation	Edwards
prevent	facilitation_causation	Edwards
prompt	facilitation_causation	Edwards
provoke	facilitation_causation	Edwards
render	facilitation_causation	Edwards
require	facilitation_causation	Edwards
stimulate	facilitation_causation	Edwards
stir up	facilitation_causation	Edwards
turn	facilitation_causation	Edwards
begin	aspectual	Edwards
cease	aspectual	Edwards
come to an end	aspectual	Edwards
complete	aspectual	Edwards
continue	aspectual	Edwards
end	aspectual	Edwards
finish	aspectual	Edwards
go on	aspectual	Edwards
keep	aspectual	Edwards
start	aspectual	Edwards
stop	aspectual	Edwards
wind up	aspectual	Edwards
